"id,title,description,type,category,tech_stack,image_url,live_url,github_url,featured,color_tag,date,detail_description,challenges,solution,outcome 1,Brain Haemorrhage Segmentation,AI-powered CT scan analysis for automated brain haemorrhage detection and classification using MedNext models,AI,Data & AI,""Python, MedNext, CT Imaging, Co-learning"",/images/projects/brain-project-thumbnail.jpg,,,False,red,2024-08,Research project at La Trobe University developing AI models to categorize brain regions via CT scans and detect haemorrhage types. Implemented baseline MedNext models with co-learning training modifications for improved accuracy.,Medical imaging requires high precision and interpretability. Balancing model complexity with clinical deployment needs.,Adapted MedNext architecture with co-learning training methods to enhance segmentation accuracy while maintaining computational efficiency for clinical settings.,""Successfully established baseline models for brain haemorrhage classification, contributing to ongoing medical AI research."" 2,Anomaly Detection with LSTM in Clinical Lab,Honours thesis implementing Patient Based Real-Time Quality Control using LSTM neural networks for early anomaly detection,AI,Data & AI,""Python, LSTM, Neural Networks, Statistical Methods"",/images/projects/anomaly-lstm-thumbnail.jpg,,https://github.com/zenzen26/Unsupervised-Anomaly-Detection-using-LSTM-for-Patient-based-Real-Time-Quality-Control,True,amber,2024-06,Honours thesis project implementing Patient Based Real-Time Quality Control (PBRTQC) system using statistical methods and LSTM neural networks. Addresses limitations of traditional quality control that catches errors only after results reach patients.,Traditional QC methods are costly and reactive. Need for real-time anomaly detection before results reach patients.,Developed LSTM-based unsupervised anomaly detection system for clinical laboratory data. Combined statistical methods with deep learning for early error detection.,""Evaluated effectiveness of LSTM techniques for clinical anomaly detection, providing foundation for proactive quality control systems."" 3,MedConv: Bone Density Prediction,Convolutional model outperforming transformers for long-tailed bone density prediction from CT scans,AI,Data & AI,""Python, CNN, Bal-CE Loss, CT Imaging"",/images/projects/medconv-thumbnail.png,https://arxiv.org/abs/2502.00631,,True,amber,2025-01,""Published research introducing MedConv, a convolutional approach for bone density prediction via CT scans. Addresses computational complexity of transformers and long-tailed data distribution in clinical settings. Achieved 21% accuracy improvement over SOTA methods."",""High computational complexity of transformer architectures limiting portable deployment. Imbalanced, long-tailed hospital data skewing predictions."",Developed MedConv using pure convolutions with Bal-CE loss and post-hoc logit adjustment. Optimized for clinical deployment with lower computational demands.,Published on arXiv with 21% accuracy and 20% ROC AUC improvement. Validated on AustinSpine dataset for clinical applicability. 4,Trivesta Website,""Custom WordPress theme with Tailwind CSS, GSAP animations, and SEO optimization for corporate presence"",Web,Web Dev,""HTML, Tailwind CSS, JavaScript, WordPress, Figma, GitHub Actions"",/images/projects/trivesta-thumbnail.png,https://trivesta.com.au/en/,,True,green,2025-12,""Complete website revamp for Trivesta using custom WordPress theme development. Implemented modern UI with Tailwind CSS, custom animations, and comprehensive SEO configuration including canonical links, robots.txt, and Google Analytics integration."",Migrating from legacy system while maintaining SEO rankings. Creating maintainable custom theme without heavy plugin dependencies.,Built custom WordPress theme from scratch using Tailwind CSS. Implemented GSAP animations for enhanced UX. Created GitHub Actions workflow for automated dev deployment.,""Modern, fast-loading website with improved SEO performance and streamlined content management workflow."" 5,Flash Media Website,Magento 1.0 migration to WordPress with Elementor and custom GSAP animations for legacy upgrade,Web,Web Dev,""WordPress, Elementor, GSAP, HTML, CSS"",/images/projects/flashmedia-thumbnail.png,,,False,amber,2026-03,Ongoing legacy migration project converting Magento 1.0 website to modern WordPress stack. Focused on future maintainability for non-technical team while enhancing visual appeal through custom animations.,Legacy Magento 1.0 reaching end-of-life. No in-house tech team for future maintenance. Limited Elementor free tier capabilities.,Selected WordPress + Elementor for user-friendly maintenance. Enhanced free tier limitations with custom HTML and GSAP animations for premium feel.,Modernized website architecture ensuring long-term maintainability by non-technical staff. 6,Inventory Management System,Excel VBA database system eliminating duplicate data and enabling accurate stock tracking with sales insights,Data,Dashboards,""Excel VBA, Database Design, CSV Processing"",/images/projects/inventory-thumbnail.jpg,,https://github.com/zenzen26/Automatic-Inventory-System-using-Excel,True,green,2025-10,""Designed database schema and built Excel VBA system to replace chaotic CSV files. Enabled accurate stock counts, warranty tracking, aging inventory alerts, and sales insight generation."",Duplicate and missing values in legacy CSV files causing stock discrepancies. No visibility into stock age or warranty status.,Created normalized database schema within Excel VBA environment. Implemented automated data validation and relationship tracking.,""Eliminated stock count errors, enabled warranty tracking, and provided data foundation for sales analytics dashboard."" 7,Warranty Management System,Automated warranty card generation and tracking system using Excel VBA,Data,Dashboards,""Excel VBA, Database Design, Document Generation"",/images/projects/warranty-thumbnail.png,,,False,amber,2025-09,Excel VBA solution for automated warranty card generation and tracking. Replaced manual template editing with database-driven document creation and clear warranty timeline visibility.,Manual warranty card creation prone to errors. No centralized tracking of warranty start dates or client history.,Integrated warranty module with existing inventory database. Automated document generation with accurate data population.,""Eliminated manual editing, ensured warranty accuracy, and provided clear audit trail for client warranty status."" 8,Google Ads Dashboard,Looker Studio dashboard improving ad performance insights and boosting conversion rates by 40%,Dashboard,Dashboards,""Google Visual Studio, Google Ads API, Analytics"",/images/projects/google-ads-thumbnail.png,,,False,black,2026-02,Built comprehensive Google Ads performance dashboard using Google Visual Studio. Enabled real-time monitoring and configuration adjustments based on data insights.,Lack of visibility into ad performance metrics. Difficulty optimizing campaigns without centralized data view.,Created integrated dashboard pulling data from Google Ads API with configurable metrics and alert systems.,Achieved 40% improvement in conversion rates through data-driven campaign optimization. 9,Sales Insights Dashboard,""Tableau dashboard visualizing top products, client regions, stock flow rates, and damage reports"",Dashboard,Dashboards,""Tableau, Excel, Data Visualization"",/images/projects/sales-insights-dashboard.png,,,False,red,2025-11,""Tableau dashboard leveraging cleaned inventory data to visualize sales patterns, geographic client distribution, stock velocity, and quality issues. Enabled quick business decision making."",Raw inventory data needed cleaning and structuring. Creating intuitive visualizations for non-technical stakeholders.,Exported processed data from Excel VBA system. Designed Tableau dashboard with key metrics and drill-down capabilities.,""Provided management with instant visibility into best-selling items, regional performance, and inventory health."" 10,AI Study Assistant,""Personal study hub with PDF upload, custom AI retelling, flashcard generation, and organized resource management"",AI,Data & AI,""React, TypeScript, LLM API, PDF Processing"",/images/projects/study-assistant-thumbnail.jpg,,https://github.com/zenzen26/Study-Assistant,False,green,2026-03,""Personal project creating a unified study platform. Features PDF upload with AI-powered concept explanation using custom system prompts, automated flashcard generation, accurate citation tracking, and organized resource management."",Disorganized study materials across multiple chat platforms. Need for personalized learning content and memorization tools.,Built web UI integrating LLM APIs with custom prompt engineering. Implemented flashcard generation and citation tracking for study integrity.,Centralized study workflow with personalized AI tutoring and effective memorization tools. 11,Australia Homelessness Analysis,Tableau visualization revealing Victoria's homelessness crisis and mental health correlations,Dashboard,Dashboards,""Tableau, Data Analysis, Public Data"",/images/projects/homelessness-thumbnail.png,https://public.tableau.com/app/profile/zenzen26/viz/Homelessness_17434814972700/Dashboard1,https://github.com/zenzen26/Data-Visualisation-Practices/tree/main/Personal%20Projects/%20Homelessness2024,True,amber,2025-04,""Analyzed Australian homelessness statistics revealing Victoria state has highest rates despite not having largest population. Identified mental health as primary issue among 35-44 age group, with suicide as leading cause of death."",""Correlating disparate datasets on homelessness, mental health, and support services. Creating compelling visual narrative."",Used Tableau to merge and visualize multi-source data. Focused on geographic and demographic patterns.,Published interactive dashboard revealing critical insights into homelessness-mental health correlation. 12,Anatomy of Kickstarter,Tableau analysis of Kickstarter trends showing evolution from creative to tech dominance and success patterns,Dashboard,Dashboards,""Tableau, Data Analysis, Kickstarter API"",/images/projects/kickstarter-thumbnail.png,https://public.tableau.com/app/profile/zenzen26/viz/KickstarterTinyGoalBigDream/Dashboard1,,False,green,2026-02,""Ongoing analysis of Kickstarter trends from 2010-2020. Discovered 2015 had most projects pledged while 2020 had highest success rate. Tracked shift from creative dominance to tech-games parity, highlighting games' need for both art and technology."",Cleaning Kickstarter's messy historical data. Accounting for projects using platform as advertising with tiny goals.,Applied data filtering to identify genuine fundraising vs advertising campaigns. Created temporal visualizations showing genre evolution.,Interactive dashboard revealing platform trends and success factors for project creators. 13,2D Drawing to 3D Model,Web tool converting doodles to exportable 3D GLB files for game developers using Three.js,Web,Web Dev,""Three.js, JavaScript, WebGL, GLB Export"",/images/projects/2d3d-thumbnail.png,https://zenzen26.github.io/CutOut-to-3D/,https://github.com/zenzen26/CutOut-to-3D,True,green,2026-03,Browser-based tool for game developers to convert 2D doodles into exportable 3D GLB models. Addresses need for quick placeholder assets during early development stages. Mobile and desktop compatible with planned skeletal rigging for basic animations.,""Early-stage game developers lack 3D modeling skills for placeholders. Need for quick, accessible 3D asset creation."",Built web application using Three.js to extrude 2D canvas drawings into 3D models. Implemented GLB export for game engine compatibility.,""Created accessible tool for rapid 3D prototyping, with future plans for skeletal rigging and animation support."" 14,Property Analysis in Mortdale,Excel analysis of Australian housing data focusing on Mortdale trends and community characteristics,Dashboard,Dashboards,""Excel, Data Analysis, ABS Data"",/images/projects/property-analysis-thumbnail.jpg,,,False,amber,2023-08,Uni project analyzing Australian Bureau of Statistics housing data for Mortdale suburb. Examined house/unit price trends and community characteristics affecting property values. Generated comprehensive report with buyer/renter recommendations.,Analyzing complex ABS datasets. Correlating housing prices with demographic and community characteristics.,""Used Excel for data cleaning, analysis, and visualization. Created charts showing trend relationships and community impact factors."",Comprehensive report providing actionable insights for prospective property buyers and renters in Mortdale. 15,Australia Economic Trade Analysis,Tableau visualization of Australia's international trade dynamics from 1988-2022 focusing on machinery and crude materials,Dashboard,Dashboards,""Tableau, Trade Data Analysis, Economic Research"",/images/projects/global-trade-aus-thumbnail.png,,,False,black,2023-09,Uni project analyzing Australia International Trade dataset (1988-2022) using Tableau. Focused on machinery and crude materials categories to understand trade dynamics and generate insights for stakeholders and decision-makers.,Processing 34 years of trade data. Identifying meaningful patterns in complex international trade relationships.,Utilized Tableau for interactive visualizations. Focused analysis on major trade categories to highlight key trends and patterns.,Comprehensive insights report revealing trends in global trade dynamics and factors influencing Australia's international trade. 16,Online Leave Management System,Laravel web application replacing manual student leave application process with automated workflow,Web,Web Dev,""Laravel, PHP, MySQL, Bootstrap, Blade"",/images/projects/online-leave-thumbnail.png,,https://github.com/zenzen26/CAP2100-Assignment,False,red,2020-11,Uni project creating online leave management system to replace manual student leave applications. Built with Laravel framework featuring intuitive UI for students to apply and lecturers to approve leave requests seamlessly.,Manual leave application process was inefficient. Need for streamlined digital workflow between students and faculty.,Developed full-stack web application using Laravel backend with Bootstrap frontend. Implemented role-based workflows for applicants and approvers.,Automated leave management system reducing processing time and improving tracking capabilities for academic administration. 17,Landmark Recognition for Vivid Sydney 2023,Android app using ResNet50 CNN to identify VIVID Sydney art installations and spotlight artists,AI,Data & AI,""Python, ResNet50, CNN, Android Studio, Java, Firebase"",/images/projects/vivid-2023-thumbnail.png,,https://github.com/zenzen26/Landmark-Recognition-VIVID-SYDNEY-2023,False,amber,2023-07,Uni project developing image classification mobile app to enhance VIVID Sydney festival experience. Uses ResNet50 CNN architecture to identify art installations and highlight contributing artists for festival-goers.,Real-time image recognition in varying lighting conditions. Mobile deployment of deep learning models with limited resources.,Programmed ResNet50 CNN in Python for backend recognition. Developed Android app with Java and Firebase integration for real-time artist information delivery.,Functional mobile application enabling festival attendees to discover and learn about VIVID Sydney installations instantly.",title,description,type,category,tech_stack,image_url,live_url,github_url,featured,color_tag,date,detail_description,challenges,solution,outcome
1,Brain Haemorrhage Segmentation,AI-powered CT scan analysis for automated brain haemorrhage detection and classification using MedNext models,AI,Segmentation,"Python, MedNext, CT Imaging, Co-learning",/images/projects/brain-project-thumbnail.jpg,,,FALSE,red,2024-08,Research project at La Trobe University developing AI models to categorize brain regions via CT scans and detect haemorrhage types. Implemented baseline MedNext models with co-learning training modifications for improved accuracy.,Medical imaging requires high precision and interpretability. Balancing model complexity with clinical deployment needs.,Adapted MedNext architecture with co-learning training methods to enhance segmentation accuracy while maintaining computational efficiency for clinical settings.,"Successfully established baseline models for brain haemorrhage classification, contributing to ongoing medical AI research."
2,Anomaly Detection with LSTM in Clinical Lab,Honours thesis implementing Patient Based Real-Time Quality Control using LSTM neural networks for early anomaly detection,AI,Anomaly Detection,"Python, LSTM, Neural Networks, Statistical Methods",/images/projects/anomaly-lstm-thumbnail.jpg,,https://github.com/zenzen26/Unsupervised-Anomaly-Detection-using-LSTM-for-Patient-based-Real-Time-Quality-Control,TRUE,red,2024-06,Honours thesis project implementing Patient Based Real-Time Quality Control (PBRTQC) system using statistical methods and LSTM neural networks. Addresses limitations of traditional quality control that catches errors only after results reach patients.,Traditional QC methods are costly and reactive. Need for real-time anomaly detection before results reach patients.,Developed LSTM-based unsupervised anomaly detection system for clinical laboratory data. Combined statistical methods with deep learning for early error detection.,"Evaluated effectiveness of LSTM techniques for clinical anomaly detection, providing foundation for proactive quality control systems."
3,MedConv: Bone Density Prediction,Convolutional model outperforming transformers for long-tailed bone density prediction from CT scans,AI,Prediction,"Python, CNN, Bal-CE Loss, CT Imaging",/images/projects/medconv-thumbnail.png,https://arxiv.org/abs/2502.00631,,TRUE,red,2025-01,"Published research introducing MedConv, a convolutional approach for bone density prediction via CT scans. Addresses computational complexity of transformers and long-tailed data distribution in clinical settings. Achieved 21% accuracy improvement over SOTA methods.","High computational complexity of transformer architectures limiting portable deployment. Imbalanced, long-tailed hospital data skewing predictions.",Developed MedConv using pure convolutions with Bal-CE loss and post-hoc logit adjustment. Optimized for clinical deployment with lower computational demands.,Published on arXiv with 21% accuracy and 20% ROC AUC improvement. Validated on AustinSpine dataset for clinical applicability.
4,Trivesta Website,"Custom WordPress theme with Tailwind CSS, GSAP animations, and SEO optimization for corporate presence",Web,Web App,"HTML, Tailwind CSS, JavaScript, WordPress, Figma, GitHub Actions",/images/projects/trivesta-thumbnail.png,https://trivesta.com.au/en/,,TRUE,green,2025-12,"Complete website revamp for Trivesta using custom WordPress theme development. Implemented modern UI with Tailwind CSS, custom animations, and comprehensive SEO configuration including canonical links, robots.txt, and Google Analytics integration.",Migrating from legacy system while maintaining SEO rankings. Creating maintainable custom theme without heavy plugin dependencies.,Built custom WordPress theme from scratch using Tailwind CSS. Implemented GSAP animations for enhanced UX. Created GitHub Actions workflow for automated dev deployment.,"Modern, fast-loading website with improved SEO performance and streamlined content management workflow."
5,Flash Media Website,Magento 1.0 migration to WordPress with Elementor and custom GSAP animations for legacy upgrade,Web,Web App,"WordPress, Elementor, GSAP, HTML, CSS",/images/projects/flashmedia-thumbnail.png,,,FALSE,green,2026-03,Ongoing legacy migration project converting Magento 1.0 website to modern WordPress stack. Focused on future maintainability for non-technical team while enhancing visual appeal through custom animations.,Legacy Magento 1.0 reaching end-of-life. No in-house tech team for future maintenance. Limited Elementor free tier capabilities.,Selected WordPress + Elementor for user-friendly maintenance. Enhanced free tier limitations with custom HTML and GSAP animations for premium feel.,Modernized website architecture ensuring long-term maintainability by non-technical staff.
6,Inventory Management System,Excel VBA database system eliminating duplicate data and enabling accurate stock tracking with sales insights,Data,Database,"Excel VBA, Database Design, CSV Processing",/images/projects/,,https://github.com/zenzen26/Automatic-Inventory-System-using-Excel,TRUE,black,2025-10,"Designed database schema and built Excel VBA system to replace chaotic CSV files. Enabled accurate stock counts, warranty tracking, aging inventory alerts, and sales insight generation.",Duplicate and missing values in legacy CSV files causing stock discrepancies. No visibility into stock age or warranty status.,Created normalized database schema within Excel VBA environment. Implemented automated data validation and relationship tracking.,"Eliminated stock count errors, enabled warranty tracking, and provided data foundation for sales analytics dashboard."
7,Warranty Management System,Automated warranty card generation and tracking system using Excel VBA,Data,Database,"Excel VBA, Database Design, Document Generation",/images/projects/warranty-thumbnail.png,,,FALSE,black,2025-09,Excel VBA solution for automated warranty card generation and tracking. Replaced manual template editing with database-driven document creation and clear warranty timeline visibility.,Manual warranty card creation prone to errors. No centralized tracking of warranty start dates or client history.,Integrated warranty module with existing inventory database. Automated document generation with accurate data population.,"Eliminated manual editing, ensured warranty accuracy, and provided clear audit trail for client warranty status."
8,Google Ads Dashboard,Looker Studio dashboard improving ad performance insights and boosting conversion rates by 40%,Data,Analytics,"Google Visual Studio, Google Ads API, Analytics",/images/projects/google-ads-thumbnail.png,,,FALSE,black,2026-02,Built comprehensive Google Ads performance dashboard using Google Visual Studio. Enabled real-time monitoring and configuration adjustments based on data insights.,Lack of visibility into ad performance metrics. Difficulty optimizing campaigns without centralized data view.,Created integrated dashboard pulling data from Google Ads API with configurable metrics and alert systems.,Achieved 40% improvement in conversion rates through data-driven campaign optimization.
9,Sales Insights Dashboard,"Tableau dashboard visualizing top products, client regions, stock flow rates, and damage reports",Data,Analytics,"Tableau, Excel, Data Visualization",/images/projects/sales-insights-dashboard.png,,,FALSE,black,2025-11,"Tableau dashboard leveraging cleaned inventory data to visualize sales patterns, geographic client distribution, stock velocity, and quality issues. Enabled quick business decision making.",Raw inventory data needed cleaning and structuring. Creating intuitive visualizations for non-technical stakeholders.,Exported processed data from Excel VBA system. Designed Tableau dashboard with key metrics and drill-down capabilities.,"Provided management with instant visibility into best-selling items, regional performance, and inventory health."
10,AI Study Assistant,"Personal study hub with PDF upload, custom AI retelling, flashcard generation, and organized resource management",AI,AI Agent,"React, TypeScript, LLM API, PDF Processing",/images/projects/study-assistant-thumbnail.jpg,,https://github.com/zenzen26/Study-Assistant,FALSE,red,2026-03,"Personal project creating a unified study platform. Features PDF upload with AI-powered concept explanation using custom system prompts, automated flashcard generation, accurate citation tracking, and organized resource management.",Disorganized study materials across multiple chat platforms. Need for personalized learning content and memorization tools.,Built web UI integrating LLM APIs with custom prompt engineering. Implemented flashcard generation and citation tracking for study integrity.,Centralized study workflow with personalized AI tutoring and effective memorization tools.
11,Australia Homelessness Analysis,Tableau visualization revealing Victoria's homelessness crisis and mental health correlations,Data,Analytics,"Tableau, Data Analysis, Public Data",/images/projects/homelessness-thumbnail.png,https://public.tableau.com/app/profile/zenzen26/viz/Homelessness_17434814972700/Dashboard1,https://github.com/zenzen26/Data-Visualisation-Practices/tree/main/Personal%20Projects/%20Homelessness2024,TRUE,black,2025-04,"Analyzed Australian homelessness statistics revealing Victoria state has highest rates despite not having largest population. Identified mental health as primary issue among 35-44 age group, with suicide as leading cause of death.","Correlating disparate datasets on homelessness, mental health, and support services. Creating compelling visual narrative.",Used Tableau to merge and visualize multi-source data. Focused on geographic and demographic patterns.,Published interactive dashboard revealing critical insights into homelessness-mental health correlation.
12,Anatomy of Kickstarter,Tableau analysis of Kickstarter trends showing evolution from creative to tech dominance and success patterns,Data,Analytics,"Tableau, Data Analysis, Kickstarter API",/images/projects/kickstarter-thumbnail.png,https://public.tableau.com/app/profile/zenzen26/viz/KickstarterTinyGoalBigDream/Dashboard1,,FALSE,black,2026-02,"Ongoing analysis of Kickstarter trends from 2010-2020. Discovered 2015 had most projects pledged while 2020 had highest success rate. Tracked shift from creative dominance to tech-games parity, highlighting games' need for both art and technology.",Cleaning Kickstarter's messy historical data. Accounting for projects using platform as advertising with tiny goals.,Applied data filtering to identify genuine fundraising vs advertising campaigns. Created temporal visualizations showing genre evolution.,Interactive dashboard revealing platform trends and success factors for project creators.
13,2D Drawing to 3D Model,Web tool converting doodles to exportable 3D GLB files for game developers using Three.js,Web,Web App,"Three.js, JavaScript, WebGL, GLB Export",/images/projects/2d3d-thumbnail.png,https://zenzen26.github.io/CutOut-to-3D/,https://github.com/zenzen26/CutOut-to-3D,TRUE,green,2026-03,Browser-based tool for game developers to convert 2D doodles into exportable 3D GLB models. Addresses need for quick placeholder assets during early development stages. Mobile and desktop compatible with planned skeletal rigging for basic animations.,"Early-stage game developers lack 3D modeling skills for placeholders. Need for quick, accessible 3D asset creation.",Built web application using Three.js to extrude 2D canvas drawings into 3D models. Implemented GLB export for game engine compatibility.,"Created accessible tool for rapid 3D prototyping, with future plans for skeletal rigging and animation support."
14,Property Analysis in Mortdale,Excel analysis of Australian housing data focusing on Mortdale trends and community characteristics,Data,Analytics,"Excel, Data Analysis, ABS Data",/images/projects/property-analysis-thumbnail.jpg,,,FALSE,black,2023-08,Uni project analyzing Australian Bureau of Statistics housing data for Mortdale suburb. Examined house/unit price trends and community characteristics affecting property values. Generated comprehensive report with buyer/renter recommendations.,Analyzing complex ABS datasets. Correlating housing prices with demographic and community characteristics.,"Used Excel for data cleaning, analysis, and visualization. Created charts showing trend relationships and community impact factors.",Comprehensive report providing actionable insights for prospective property buyers and renters in Mortdale.
15,Australia Economic Trade Analysis,Tableau visualization of Australia's international trade dynamics from 1988-2022 focusing on machinery and crude materials,Data,Analytics,"Tableau, Trade Data Analysis, Economic Research",/images/projects/global-trade-aus-thumbnail.png,,,FALSE,black,2023-09,Uni project analyzing Australia International Trade dataset (1988-2022) using Tableau. Focused on machinery and crude materials categories to understand trade dynamics and generate insights for stakeholders and decision-makers.,Processing 34 years of trade data. Identifying meaningful patterns in complex international trade relationships.,Utilized Tableau for interactive visualizations. Focused analysis on major trade categories to highlight key trends and patterns.,Comprehensive insights report revealing trends in global trade dynamics and factors influencing Australia's international trade.
16,Online Leave Management System,Laravel web application replacing manual student leave application process with automated workflow,Web,Web App,"Laravel, PHP, MySQL, Bootstrap, Blade",/images/projects/online-leave-thumbnail.png,,https://github.com/zenzen26/CAP2100-Assignment,FALSE,green,2020-11,Uni project creating online leave management system to replace manual student leave applications. Built with Laravel framework featuring intuitive UI for students to apply and lecturers to approve leave requests seamlessly.,Manual leave application process was inefficient. Need for streamlined digital workflow between students and faculty.,Developed full-stack web application using Laravel backend with Bootstrap frontend. Implemented role-based workflows for applicants and approvers.,Automated leave management system reducing processing time and improving tracking capabilities for academic administration.
17,Landmark Recognition for Vivid Sydney 2023,Android app using ResNet50 CNN to identify VIVID Sydney art installations and spotlight artists,AI,Computer Vision,"Python, ResNet50, CNN, Android Studio, Java, Firebase",/images/projects/vivid-2023-thumbnail.png,,https://github.com/zenzen26/Landmark-Recognition-VIVID-SYDNEY-2023,FALSE,red,2023-07,Uni project developing image classification mobile app to enhance VIVID Sydney festival experience. Uses ResNet50 CNN architecture to identify art installations and highlight contributing artists for festival-goers.,Real-time image recognition in varying lighting conditions. Mobile deployment of deep learning models with limited resources.,Programmed ResNet50 CNN in Python for backend recognition. Developed Android app with Java and Firebase integration for real-time artist information delivery.,Functional mobile application enabling festival attendees to discover and learn about VIVID Sydney installations instantly.
